screen_name,name,statuses_count,followers_count,friends_count,listed_count,created_at,profile_image_url,location,url,description
JohnFilion23,John Filion,1407,2395,297,129,Tue Nov 20 15:55:45 +0000 2012,https://pbs.twimg.com/profile_images/658835271052587012/H3-kGl1E.jpg,"Willowdale, Toronto Ontario",,Author of The Only Average Guy• Toronto City Councillor - Ward 23 • Toronto Arts Advocate •
DenzilMW,Denzil Minnan-Wong,2160,7180,257,302,Tue Feb 03 12:29:49 +0000 2009,https://pbs.twimg.com/profile_images/580850132628955137/i3NymV8-.jpg,Toronto,,You might think that.  I couldn't possibly comment.
mammolitiward7,Giorgio Mammoliti,19,122,174,10,Mon Jul 20 18:59:34 +0000 2015,https://pbs.twimg.com/profile_images/649580745221083136/0jmYlHUq.jpg,"Toronto, Ontario",http://www.giorgiomammoliti.ca,"Councillor, Ward 7 - York West"
FrancesNunziata,Frances Nunziata,382,672,97,43,Wed Jun 11 04:12:59 +0000 2014,https://pbs.twimg.com/profile_images/529317704771977216/Jk4LtxoB.jpeg,Toronto City Hall,http://www.councillornunziata.com,City Councillor for Ward 11 York South-Weston
FDiGiorgio12,Frank Di Giorgio,899,678,152,53,Fri Sep 12 15:13:16 +0000 2014,https://pbs.twimg.com/profile_images/518037639577206784/m6F6uWiF.jpeg,"Ward 12, Toronto ON",http://www.frankdigiorgio.ca,Dedicated to working hard for the residents of Ward 12. Please contact us at councillor_digiorgio@toronto.ca or call us at 416-392-4066!
CncllrChinLee,Chin Lee,408,875,222,64,Mon Jan 13 21:17:35 +0000 2014,https://pbs.twimg.com/profile_images/422842599175503872/F1DeT7DB.jpeg,"Toronto, Ontario, Canada",https://chinlee41.wordpress.com/,Toronto City Councillor for Ward 41 - Scarborough Rouge River
jon_burnside,Jon Burnside,1675,1684,507,88,Mon Oct 05 16:46:24 +0000 2009,https://pbs.twimg.com/profile_images/556210695038308352/E0tVzc-B.jpeg,"Toronto, Ontario, Canada",http://www.jonburnside.com,#Toronto City Councillor for #Ward26 - #TOpoli #WynfordConcorde #Thorncliffe #Flemingdon #Leaside
ron_moeser,Ron Moeser,1634,1241,1020,65,Thu Jan 09 21:43:41 +0000 2014,https://pbs.twimg.com/profile_images/421407492740898816/_jHA6eog.jpeg,councillor_moeser@toronto.ca,http://www.ronmoeser.ca,"City of Toronto Councillor, Ward 44, Scarborough East 
https://t.co/G89vxHfpIt"
Mark_Grimes,Mark Grimes,5815,6202,2422,221,Wed Mar 18 16:23:40 +0000 2009,https://pbs.twimg.com/profile_images/692049946753765376/WdQGQMJm.jpg,"Toronto, Ontario",http://www.markgrimes.ca/,"City Councillor - Ward 6 | Chair, @ExPlaceTO | Hockey Hall of Fame BOD | Toronto Sports Fan | Father of five and proud owner of a small petting zoo."
joemihevc,Joe Mihevc,6696,8372,694,395,Fri Jan 23 12:59:39 +0000 2009,https://pbs.twimg.com/profile_images/574723874857816064/Y3xjIcTB.jpeg,Toronto,http://www.joemihevc.com,"Toronto City Councillor for Ward 21 St Paul's. Passions: social justice, public health, transit, community engagement & capacity building. Arts-lover. Cyclist."
shelleycarroll,Shelley Carroll,24816,11970,2042,493,Wed Jun 03 20:02:36 +0000 2009,https://pbs.twimg.com/profile_images/527310899837927424/DjrHivng.jpeg,Toronto,http://www.shelleycarroll.ca/,Toronto Councillor building a City for my grandkids' future. Our children ARE our future! Access My staff immediately via @ward33team
JamesPasternak,James Pasternak,4987,4513,1849,219,Thu Jan 22 01:59:57 +0000 2009,https://pbs.twimg.com/profile_images/73154978/Katz_Bris__signs_and_David_Miller_017.JPG,Toronto,http://www.jamespasternak.ca,"City of Toronto Councillor, Ward 10 (York Centre)"
JoshMatlow,Josh Matlow,25346,14053,87,566,Thu Aug 14 00:18:09 +0000 2008,https://pbs.twimg.com/profile_images/716805476554563584/ayWdgQJ_.jpg,Toronto,http://joshmatlow.ca/,"Community Advocate & Toronto City Councillor for Ward 22. Bringing a socially progressive, fiscally responsible & centrist approach to city hall."
cllrainslie,Paul Ainslie,92380,8592,3909,468,Sun Feb 22 01:59:16 +0000 2009,https://pbs.twimg.com/profile_images/2888010226/df8d6445c5af01219b82aa9f0a2a971e.jpeg,www.paulainslie.com,https://www.instagram.com/paulainslie/,"Toronto City Councillor (Ward 43, Scarborough East)"
